"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","w8nwRe","znYl0","Hzvxle","pkWtMe","RfDO5c","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/ALV-UjVBqV2gasD5TjWsY4r27FXq8toipSi4zwsH9oIghrrGe_lFW2Uvkg=w45-h45-p-rp-mo-ba7-br100","Supriya devkar","Local Guide · 523 reviews · 6,531 photos","a week ago","In hotel Bannatwadi village culture is shown here. School, panchayat,post office ,doctor all communities pictures shown here with statues. Rabbits ,hens, ducks are available here which attract children's and people. …","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVxyLA_qRtkWSknZ_OLqVpWWWRoVHswzkGULR-jQOP2y73vfTH6DQ=w45-h45-p-rp-mo-ba4-br100","Veersinh Desai","Local Guide · 84 reviews · 165 photos","5 months ago","Meal was good. Mutton Chop was the only dish which was not upto the point else was good. Plenty of dishes in one thali so could not enjoy the meal properly.","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUx9I2h5FVJNfHdAOBZqEj0o789fN-WjWp2zoKy3OZ9xUmU-gic=w45-h45-p-rp-mo-ba2-br100","Shahid Pathan","Local Guide · 16 reviews · 7 photos","a week ago","PLEASE DON’T COME FROM LONG DISTANCE TO THIS HOTEL,
Not here like reel, Mutton and chiken is not cook well in thali system, taste is awesome but they not provide hot food, full crowd in hotel","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVMyZHIeNj5totNH9_-UqYpgc7R8dQrmhrbZhqgKCP0z5f5rhuF=w45-h45-p-rp-mo-br100","Ganesh Patil","12 reviews · 3 photos","2 months ago","Most important thing fake reviews by food bloggers on social media.
I would not recommend it.
Ambience was Good. …","More","","Like","3","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZ9FpULpz1L5Om2S6bN_xRLX32w9dsLO1-c5bXN-1NAuHjby_1=w45-h45-p-rp-mo-ba3-br100","Anirudha Barale","Local Guide · 27 reviews · 37 photos","4 months ago","First time i visited here
Here Atmosphere is totally Village feeling
There are so many crowds and waiting lists but they maintained very hardly you …","More","","Like","3","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVQuV6HOvG1bvP7n_I4MwrqtW22xCyp5cYzV3RuqbBuxnFeRxKgqg=w45-h45-p-rp-mo-ba5-br100","raj rane","Local Guide · 186 reviews · 768 photos","a year ago","Very hyped Bhannat wadi hotel with a village theme restaurant displaying old culture of villages with live singing of Bhajan. First impressions are very good because as you enter you will feel like you have come to the jatra festival of non …","More","","Like","24","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7HHFs0WindflwtdH-9uoMqBkIRcbQvOw-u0ouwSbI4Tv1bDviOw=w45-h45-p-rp-mo-ba5-br100","Ganesh Patil","Local Guide · 192 reviews · 737 photos","a year ago","So we got this on social media. So many review reels, posts on social media. But i think its only by owner.. 😅😅 Reality is its not have taste which is shown on promotion videos. After become famous they loose there taste, quality, service. …","More","","Like","18","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU93ZxjRVj8IczcOLeuQZwnAV5986j5T8Gyck70cK2iU-c9EYbh=w45-h45-p-rp-mo-br100","VINAY DHERE (VINAYAK)","6 reviews · 4 photos","10 months ago","The white soup was cold, the red soup was cold, I came to eat after seeing the Instagram reels, but after actually eating, I realized that the food quality is not at all based on the calculation of the rate. …","More","","Like","30","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqL1dSsPNI8K4mDpd8OVdyFZTdtKHEVGrBxcKEEYd-eSSfkI_Y=w45-h45-p-rp-mo-ba4-br100","av1shkar","Local Guide · 49 reviews · 80 photos","2 months ago","Famous hotel in kolhapur serving both veg and non veg dishes.","More","","Like","1","Service","Di…"
"https://lh3.googleusercontent.com/a-/ALV-UjXHd0bLtUprq-FxXDZA_skKduKCxNVaVutHNEvXDnZnebT5u6f_=w45-h45-p-rp-mo-ba3-br100","Vaibhav Sonavane","Local Guide · 20 reviews · 5 photos","2 months ago","food was good, service is also wll, but they took all customers in same place family and all unwanted boys group, please make a saperate space for family.","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUSspthTTV7LF-I1-lb6Opc0ap4qIuveUsPR_wvG4qP0mhV2GY=w45-h45-p-rp-mo-ba3-br100","Pavan Patil","Local Guide · 10 reviews · 6 photos","5 months ago","I’m a huge foodie for mutton thali. Based on the hype created in insta visited this hotel. Honest review Kolhapuri spicy taste was missing.
All items in the thali were having average taste nothing like Kolhapuri thali but yes you can eat it as punjabi thali 😂 …","More","","Like","4","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVF2-x9CQII9xiIRuVs8_fDGW3BKGCfrsuh20AeRdczzTeS4VtqcA=w45-h45-p-rp-mo-ba4-br100","Aziz Bhori","Local Guide · 119 reviews · 116 photos","a year ago","We had ordered in plate system as well as Thaali, both were good. Mashroom chilli was wow.
Chops thaali was amazing. …","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVrRmPDMHm3nMT-b2ZIOZmSgmok7BNlChBK2t-uN2Q1IbxDpSn1jA=w45-h45-p-rp-mo-ba2-br100","Ketan Chopade","Local Guide · 12 reviews · 14 photos","a year ago","I was so impressed with my dinner yesterday's night! I tried the chicken thali and my brother got the butter chicken thali. We both finished our whole thalis and were so impressed with the quality of the food and the short amount of time it took to receive it. Our waitre was helpful. Its also kids friendly. I will definitely be back!","More","","Like","1","",""
"https://lh3.googleusercontent.com/a/ACg8ocLPSy_T2I9xK3DpRwVPoMaLJphC2RNYPL6C6xCM2M4zRZcXDw=w45-h45-p-rp-mo-ba3-br100","Abhishek Khindari","Local Guide · 30 reviews · 51 photos","5 months ago","over rated crowd
stop because of crowd but after tasting chicken handi , it feels like chicken is not cooked well, and bhakaris are so thin, should increase the quantity","More","","Like","2","",""
"https://lh3.googleusercontent.com/a/ACg8ocLveDRLgcvbVQqcMS7uumXH15c4KG_AOL7L4GDAbUqdXVUiOQ=w45-h45-p-rp-mo-br100","Rohit Kerkar","6 reviews · 27 photos","8 months ago","The Food Quality is Very Good & Tasty ,The Service Is Also Fast & Cleanliness Also Good But The Location Is Not On the Exact Place 18km Difference Is there","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVSBZUBW6u4rjP__ebeT0mb41Jo-aI9EboMSs9uH5xmrDeBt8Ee=w45-h45-p-rp-mo-ba4-br100","akash dalimbe","Local Guide · 22 reviews · 3 photos","2 weeks ago","Chicken starter are good,but the mutton is below average and not of good quality. The mutton was undercooked and raw,it tasted really awful and also the chops are not that great! Wouldn't recommend the mutton there,only go for chicken and nothing else... Also as per the quality of food offered the rates are extremely high!!!","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLxcxSq1vZHgvKIHo2ud8kHFyHjH_TgYjSU_yQQURvwegb2Ew=w45-h45-p-rp-mo-ba4-br100","Sagar Kokare","Local Guide · 48 reviews · 94 photos","4 months ago","Vintage looks of maharashtrian vilage, old marathi songs playing in background, mouth watering nonveg menu, excellent service all make this a five star place.","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUfzCsY8_5r2DtEokPv7cKODBLgRf2zEpSa0ExuqoyG48QUIL8NMg=w45-h45-p-rp-mo-ba4-br100","SANDESH VANDRE","Local Guide · 226 reviews · 69 photos","a month ago","Nice atmosphere for Marathi people
Marathi songs + marathi hygiene ambience +good food+ nice service","More","Like","","","",""
